t,lat,lon,alt,v1,v2,v3,a1,a2,a3
2100,48.4006519937166,24.3550615908166,415807.138446261,-4677.23803858652,5384.48588983968,1821.38290880658,-4.43933893607768,-1.68304697069673,-6.4646014849089
2105,48.5152033005182,24.7893724003554,415843.560116841,-4699.36332904141,5375.99342267887,1789.03116770029,-4.41075983290759,-1.71393601158036,-6.47606049630759
2110,48.627946688107,25.2257195440451,415879.592900916,-4721.34544934541,5367.34658157587,1756.6226483097,-4.38206471795712,-1.74479088229013,-6.4873127471649
2115,48.7388670665934,25.6640870828255,415915.232353369,-4743.18379018563,5358.54556726169,1724.15838520811,-4.35325449695123,-1.77561068677629,-6.49835793031179
2120,48.8479494313003,26.1044586636016,415950.474097418,-4764.87779401208,5349.59054338672,1691.63941448962,-4.32433005754409,-1.80639456973272,-6.50919574442871
2125,48.9551788705195,26.5468170060102,415985.313824639,-4786.42690762744,5340.48167768271,1659.06677374207,-4.29529228440925,-1.83714167717644,-6.51982589319325
2130,49.0605405733886,26.9911433899076,416019.747295029,-4807.83053524673,5331.21918427665,1626.44150202411,-4.26614207610632,-1.86785111855272,-6.53024808451041
2135,49.1640198378797,27.4374186565194,416053.770337183,-4829.08813257896,5321.80323961668,1593.76463984569,-4.23688031355936,-1.89852204227904,-6.54046202983396
2140,49.265602078893,27.8856225293962,416087.378848524,-4850.19914406641,5312.23403845011,1561.03722915179,-4.20750788200436,-1.92915358478069,-6.55046744361816
2145,49.3652728364478,28.3357339448033,416120.568795668,-4871.16303413341,5302.5117655496,1528.26031330853,-4.17802566066863,-1.95974489517298,-6.5602640428918
2150,49.4630177839645,28.7877303743947,416153.336214828,-4891.97922493066,5292.63665281577,1495.4349370911,-4.14843454645744,-1.99029508592127,-6.56985154697605
2155,49.5588227366292,29.2415888297743,416185.677212327,-4912.64718976743,5282.60889371225,1462.56214667267,-4.11873542051394,-2.02080330647479,-6.57922967732776
2160,49.6526736598316,29.6972853551093,416217.587965176,-4933.16640627454,5272.4286857745,1429.64298961384,-4.08892916571207,-2.05126870584299,-6.58839815752981
2165,49.7445566776664,30.1547945207445,416249.064721727,-4953.53631009904,5262.09627421222,1396.67851485178,-4.05901668572203,-2.0816903967849,-6.59735671341065
2170,49.8344580814926,30.6140904306625,416280.103802363,-4973.75638781996,5251.61186525273,1363.66977268843,-4.02899886984728,-2.11206752801025,-6.6061050732716
2175,49.9223643385369,31.0751462181419,416310.701600246,-4993.826130381,5240.97566920204,1330.61781477734,-3.99887661114314,-2.14239924766054,-6.61464296823189
2180,50.0082621005311,31.5379335424566,416340.854582094,-5013.74498707336,5230.18794457971,1297.52369410857,-3.96865082604475,-2.17268466840091,-6.62297013266474
2185,50.0921382123772,32.0024235995519,416370.559288962,-5033.51245791167,5219.2489103888,1264.3884649911,-3.93832241731317,-2.20292293812986,-6.6310863046967
2190,50.1739797208238,32.4685866209722,416399.81233705,-5053.12804734127,5208.15878971903,1231.21318303272,-3.90789229264041,-2.23311320431568,-6.63899122677505
2195,50.2537738831445,32.9363913739262,416428.610418459,-5072.59121851975,5196.91785439812,1197.99890511699,-3.87736138473677,-2.26325457994003,-6.64668464627385
2200,50.3315081758098,33.4058061753822,416456.950301985,-5091.9014851216,5185.52633621362,1164.74668937694,-3.84673061233441,-2.29334621263535,-6.6541663161096
2205,50.4071703031343,33.8767983944993,416484.828833834,-5111.05836532869,5173.98447104427,1131.45759516585,-3.81600089925383,-2.32338724982661,-6.66143599537188
2210,50.4807482058907,34.3493339562375,416512.242938304,-5130.06133641571,5162.29254401692,1098.13268302486,-3.78517319496176,-2.35337680548031,-6.66849344994159
2215,50.5522300698799,34.8233783590773,416539.189618443,-5148.90992595707,5150.45079970206,1064.7730146475,-3.75424843368559,-2.3833140276122,-6.67533845307039
2220,50.6216043344389,35.2988961810874,416565.665956622,-5167.60366610579,5138.45948676363,1031.37965284142,-3.72322755401236,-2.4131980642092,-6.68197078593107
2225,50.6888597008774,35.7758505872366,416591.66911506,-5186.14204849217,5126.31890360785,997.953661487615,-3.69211152000834,-2.44302803077416,-6.68839023811651
2230,50.7539851408299,36.2542043508264,416617.196336281,-5204.52461480333,5114.02930757931,964.496105497124,-3.6609012785653,-2.47280307618084,-6.69459660806444
2235,50.8169699045088,36.7339193633129,416642.24494352,-5222.75091136166,5101.59096011511,931.008050765902,-3.62959777965002,-2.50252234939193,-6.70058970342505
2240,50.8778035288432,37.2149561453674,416666.812341021,-5240.82044434451,5089.00417287514,897.490564128037,-3.59820199810947,-2.53218496782249,-6.70636934135377
2245,50.936475845496,37.6972748720797,416690.896014332,-5258.73276971229,5076.26921596201,863.9447133076,-3.56671488938498,-2.56179008155252,-6.71193534871067
2250,50.9929769887386,38.1808348865278,416714.493530484,-5276.48744809541,5063.38636356904,830.371566869813,-3.53513741053273,-2.59133684087705,-6.71728756219106
2255,51.0472974031736,38.6655942145909,416737.60253813,-5294.08400034763,5050.35594057801,796.77219417176,-3.50347054282555,-2.62082436552786,-6.72242582837372
2260,51.0994278512936,39.1515105938657,416760.220767627,-5311.52199679766,5037.17822982883,763.147665312958,-3.47171524595115,-2.65025180725775,-6.72735000367195
2265,51.1493594208581,39.6385409909328,416782.346031072,-5328.8010124585,5023.85351824712,729.499051086502,-3.43987247989296,-2.67961831825661,-6.73205995421909
2270,51.1970835320784,40.1266411198153,416803.97622228,-5345.92058292628,5010.38214389695,695.827422930938,-3.40794322840609,-2.70892302125609,-6.73655555567857
2275,51.2425919445991,40.6157664744815,416825.10931675,-5362.88029293331,4996.76440232481,662.133852883191,-3.37592845177894,-2.73816507048011,-6.74083669296652
2280,51.285876764259,41.1058718496503,416845.743371553,-5379.67973189311,4983.00059315356,628.419413533143,-3.34382910962722,-2.76734362093258,-6.74490325992577
2285,51.3269304496208,41.5969108627017,416865.876525242,-5396.3184501575,4969.09106757782,594.685177979972,-3.31164618528612,-2.79645779937863,-6.74875515894377
2290,51.3657458182611,42.0888369895663,416885.506997718,-5412.79604685149,4955.03613380518,560.932219790433,-3.2793806371814,-2.82550676362523,-6.75239230050547
2295,51.4023160528022,42.5816030888097,416904.633090099,-5429.11212576656,4940.83610410528,527.161612959587,-3.24703342256099,-2.85448967265366,-6.7558146027261
2300,51.4366347066778,43.0751609267349,416923.253184574,-5445.26625199122,4926.49134273322,493.374431873906,-3.21460552281874,-2.88340565844466,-6.75902199085797
2305,51.4686957096236,43.5694622163369,416941.365744267,-5461.25803900546,4912.00217049553,459.571751276804,-3.18209789350128,-2.91225388352929,-6.76201439676559
2310,51.4984933728773,44.0644581443489,416958.96931312,-5477.08710493771,4897.36891224025,425.754646236909,-3.14951148898097,-2.94103351192724,-6.76479175841707
2315,51.52602239408,44.5600988991607,416976.062515785,-5492.75302958146,4882.59194519796,391.924192118828,-3.11684728871071,-2.96974368177573,-6.76735401938722
2320,51.5512778618721,45.0563347124771,416992.644057544,-5508.25544073101,4867.67160269612,358.08146455626,-3.0841062458744,-2.99838356109899,-6.76970112836772
2325,51.5742552601695,45.5531153888893,417008.712724254,-5523.5939708141,4852.60822208089,324.227539427572,-3.05128931298914,-3.02695231952525,-6.77183303873253
2330,51.5949504721141,46.0503898361915,417024.267382326,-5538.76821431012,4837.40219346178,290.363492833415,-3.01839746906956,-3.05544910170544,-6.7737497081521
2335,51.6133597836931,46.5481071092569,417039.306978757,-5553.77781330464,4822.0538626038,256.490401076022,-2.98543166691007,-3.0838730812789,-6.77545109825128
2340,51.6294798870141,47.0462159416774,417053.83054118,-5568.62241451366,4806.56357926672,222.609340640172,-2.95239285957628,-3.11222343338273,-6.77693717435375
2345,51.6433078832336,47.5446642779542,417067.837177961,-5583.30162711514,4790.9317463431,188.721388175212,-2.91928202842939,-3.14049930888536,-6.7782079053024
